symbol,side,regime,entry_time,exit_time,entry_price,exit_price,qty,exit_reason,pnl,r_multiple,hold_minutes
HOOD,SHORT,NEUTRAL,2025-05-14T10:21:00-04:00,2025-05-14T10:54:00-04:00,62.38,63.31,1267,STOP_LOSS,-1172.59,-1.0,33
COIN,SHORT,NEUTRAL,2025-05-14T10:27:00-04:00,2025-05-14T12:00:00-04:00,256.06,260.71,308,STOP_LOSS,-1433.47,-1.0,93
PLTR,SHORT,NEUTRAL,2025-05-14T10:03:00-04:00,2025-05-14T13:35:00-04:00,129.35,128.58,611,TRAILING_STOP,475.4,0.31,212
AMD,SHORT,NEUTRAL,2025-05-14T10:41:00-04:00,2025-05-14T13:38:00-04:00,118.04,117.36,670,TRAILING_STOP,454.19,0.56,177
HOOD,SHORT,NEUTRAL,2025-05-15T10:09:00-04:00,2025-05-15T10:18:00-04:00,58.64,58.28,1328,TRAILING_STOP,474.19,0.36,9
COIN,SHORT,NEUTRAL,2025-05-15T10:13:00-04:00,2025-05-15T10:29:00-04:00,249.05,245.3,312,SCALP_TP,1170.67,1.0,16
COIN,SHORT,NEUTRAL,2025-05-15T10:30:00-04:00,2025-05-15T10:49:00-04:00,245.86,241.7,321,SCALP_TP,1338.26,1.0,19
UNH,SHORT,NEUTRAL,2025-05-15T10:06:00-04:00,2025-05-15T10:58:00-04:00,257.56,253.27,302,TRAILING_STOP,1293.04,0.39,52
HOOD,SHORT,NEUTRAL,2025-05-15T10:32:00-04:00,2025-05-15T11:00:00-04:00,57.86,58.76,1366,STOP_LOSS,-1215.96,-1.0,28
AMD,SHORT,NEUTRAL,2025-05-15T10:33:00-04:00,2025-05-15T12:31:00-04:00,115.02,116.04,687,STOP_LOSS,-695.12,-1.0,118
UNH,SHORT,NEUTRAL,2025-05-22T10:23:00-04:00,2025-05-22T15:20:00-04:00,298.98,297.89,266,TRAILING_STOP,290.89,0.26,297
TSLA,SHORT,NEUTRAL,2025-05-29T10:09:00-04:00,2025-05-29T10:40:00-04:00,360.44,364.06,221,STOP_LOSS,-800.76,-1.0,31
PLTR,SHORT,NEUTRAL,2025-05-29T10:12:00-04:00,2025-05-29T11:12:00-04:00,122.18,123.75,653,STOP_LOSS,-1024.95,-1.0,60
AMD,SHORT,NEUTRAL,2025-05-29T10:08:00-04:00,2025-05-29T12:15:00-04:00,113.68,113.15,701,TRAILING_STOP,369.74,0.44,127
CRM,SHORT,NEUTRAL,2025-05-29T10:04:00-04:00,2025-05-29T13:36:00-04:00,257.77,262.34,309,STOP_LOSS,-1411.62,-1.0,212
HOOD,SHORT,NEUTRAL,2025-06-04T10:08:00-04:00,2025-06-04T10:23:00-04:00,71.31,72.59,1090,STOP_LOSS,-1399.36,-1.0,15
TSLA,SHORT,NEUTRAL,2025-06-05T12:32:00-04:00,2025-06-05T12:40:00-04:00,312.87,308.94,245,SCALP_TP,963.54,1.0,8
HOOD,SHORT,NEUTRAL,2025-06-05T12:39:00-04:00,2025-06-05T12:44:00-04:00,74.28,73.58,1033,SCALP_TP,720.22,1.0,5
AVGO,SHORT,NEUTRAL,2025-06-06T10:03:00-04:00,2025-06-06T15:22:00-04:00,251.14,246.73,310,SCALP_TP,1366.9,1.0,319
HOOD,SHORT,NEUTRAL,2025-06-09T10:02:00-04:00,2025-06-09T10:33:00-04:00,69.54,71.13,1134,STOP_LOSS,-1807.77,-1.0,31
HOOD,SHORT,NEUTRAL,2025-06-10T10:22:00-04:00,2025-06-10T10:26:00-04:00,73.26,72.88,1059,TRAILING_STOP,404.66,0.33,4
HOOD,SHORT,NEUTRAL,2025-06-10T11:32:00-04:00,2025-06-10T11:53:00-04:00,71.06,71.98,1096,STOP_LOSS,-1007.75,-1.0,21
BA,SHORT,NEUTRAL,2025-06-12T10:30:00-04:00,2025-06-12T13:14:00-04:00,202.65,205.63,380,STOP_LOSS,-1131.43,-1.0,164
HOOD,SHORT,NEUTRAL,2025-06-13T10:05:00-04:00,2025-06-13T10:21:00-04:00,73.36,72.16,1041,SCALP_TP,1249.76,1.0,16
MA,SHORT,NEUTRAL,2025-06-13T10:02:00-04:00,2025-06-13T10:26:00-04:00,560.25,555.51,136,SCALP_TP,644.85,1.0,24
