symbol,side,regime,entry_time,exit_time,entry_price,exit_price,qty,exit_reason,pnl,r_multiple,hold_minutes
UNH,LONG,NEUTRAL,2025-05-19T09:50:00-04:00,2025-05-19T10:16:00-04:00,306.22,299.6467714285714,724,STOP_LOSS,-4759.02,-1.0,26
MRNA,LONG,NEUTRAL,2025-05-19T11:51:00-04:00,2025-05-19T12:06:00-04:00,26.3,26.386018294405215,8079,TRAILING_STOP,694.94,0.46,15
UNH,LONG,NEUTRAL,2025-05-19T11:51:00-04:00,2025-05-19T12:36:00-04:00,309.515,313.85066357912496,686,TRAILING_STOP,2974.27,1.47,45
MRNA,LONG,NEUTRAL,2025-05-20T09:52:00-04:00,2025-05-20T10:42:00-04:00,27.13,27.386107629929963,8102,TRAILING_STOP,2074.98,0.58,50
MRNA,LONG,NEUTRAL,2025-05-20T11:13:00-04:00,2025-05-20T11:15:00-04:00,28.065,28.732411794049526,7490,TRAILING_STOP,4998.91,0.58,2
UNH,LONG,NEUTRAL,2025-05-20T11:15:00-04:00,2025-05-20T11:22:00-04:00,319.28,320.34462591142574,732,TRAILING_STOP,779.31,0.37,7
MRNA,LONG,NEUTRAL,2025-05-20T11:35:00-04:00,2025-05-20T12:43:00-04:00,29.075,27.86102857142857,8100,STOP_LOSS,-9833.17,-1.0,68
MRNA,LONG,NEUTRAL,2025-05-20T13:29:00-04:00,2025-05-20T13:36:00-04:00,28.4304,27.606342857142856,7592,STOP_LOSS,-6256.24,-1.0,7
MDB,LONG,NEUTRAL,2025-05-22T09:52:00-04:00,2025-05-22T10:11:00-04:00,189.88,190.38015146107318,1070,TRAILING_STOP,535.16,0.19,19
SNOW,LONG,NEUTRAL,2025-05-22T10:00:00-04:00,2025-05-22T11:46:00-04:00,197.3999,198.93906940528916,1030,TRAILING_STOP,1585.34,0.35,106
UNH,SHORT,NEUTRAL,2025-05-22T10:23:00-04:00,2025-05-22T15:55:00-04:00,298.982,296.66,512,EOD_CLOSE,1188.86,0.41,332
MSTR,SHORT,NEUTRAL,2025-05-23T11:05:00-04:00,2025-05-23T11:18:00-04:00,379.88,378.14091514149425,414,TRAILING_STOP,719.98,0.28,13
CRWD,LONG,NEUTRAL,2025-05-27T09:45:00-04:00,2025-05-27T10:02:00-04:00,465.75,469.0021817058814,453,TRAILING_STOP,1473.24,0.6,17
GOOGL,LONG,NEUTRAL,2025-05-27T10:02:00-04:00,2025-05-27T10:16:00-04:00,172.16,172.37608487121616,1245,TRAILING_STOP,269.03,0.17,14
NVDA,LONG,NEUTRAL,2025-05-27T10:00:00-04:00,2025-05-27T10:37:00-04:00,134.64,134.98579035,4,TRAILING_STOP,1.38,0.37,37
TSLA,LONG,NEUTRAL,2025-05-27T09:58:00-04:00,2025-05-27T10:43:00-04:00,353.9,355.3847139248375,597,TRAILING_STOP,886.37,0.34,45
CRWD,LONG,NEUTRAL,2025-05-27T10:16:00-04:00,2025-05-27T15:55:00-04:00,472.09,472.065,455,EOD_CLOSE,-11.37,-0.01,339
CRM,SHORT,NEUTRAL,2025-05-29T10:04:00-04:00,2025-05-29T14:41:00-04:00,257.77,263.86111428571434,630,STOP_LOSS,-3837.4,-1.0,277
UBER,SHORT,NEUTRAL,2025-05-29T10:03:00-04:00,2025-05-29T15:18:00-04:00,84.135,83.50197518885464,1931,TRAILING_STOP,1222.37,0.46,315
PLTR,LONG,NEUTRAL,2025-05-30T10:08:00-04:00,2025-05-30T10:15:00-04:00,125.18,126.88442239746193,1688,TRAILING_STOP,2877.07,1.03,7
PLTR,LONG,NEUTRAL,2025-05-30T10:43:00-04:00,2025-05-30T11:11:00-04:00,129.14,130.6923943549636,1681,TRAILING_STOP,2609.57,0.94,28
ZS,LONG,NEUTRAL,2025-05-30T10:03:00-04:00,2025-05-30T15:55:00-04:00,271.29,275.865,779,EOD_CLOSE,3563.92,1.0,352
AVGO,LONG,NEUTRAL,2025-06-02T10:16:00-04:00,2025-06-02T10:44:00-04:00,248.065,248.6627726701815,925,TRAILING_STOP,552.94,0.29,28
MRNA,LONG,NEUTRAL,2025-06-02T10:31:00-04:00,2025-06-02T12:07:00-04:00,26.97,27.214281386725993,8510,TRAILING_STOP,2078.83,0.8,96
PINS,LONG,NEUTRAL,2025-06-03T09:48:00-04:00,2025-06-03T10:43:00-04:00,32.78,33.27638425869433,7162,TRAILING_STOP,3555.1,1.0,55
HOOD,LONG,NEUTRAL,2025-06-03T10:14:00-04:00,2025-06-03T11:07:00-04:00,70.26,70.50747991033305,4,TRAILING_STOP,0.99,0.25,53
HOOD,LONG,NEUTRAL,2025-06-03T12:17:00-04:00,2025-06-03T12:29:00-04:00,71.925,72.1345153582601,3363,TRAILING_STOP,704.6,0.4,12
MSTR,LONG,NEUTRAL,2025-06-03T09:47:00-04:00,2025-06-03T12:58:00-04:00,382.5,387.7129819219851,613,TRAILING_STOP,3195.56,0.81,191
LLY,LONG,NEUTRAL,2025-06-04T09:53:00-04:00,2025-06-04T15:55:00-04:00,770.685,765.815,323,EOD_CLOSE,-1573.01,-0.68,362
NET,LONG,NEUTRAL,2025-06-05T10:42:00-04:00,2025-06-05T11:05:00-04:00,178.93,179.23361234561003,1377,TRAILING_STOP,418.07,0.16,23
HOOD,LONG,NEUTRAL,2025-06-05T10:41:00-04:00,2025-06-05T11:32:00-04:00,74.87,76.15880430842032,3292,TRAILING_STOP,4242.74,1.12,51
NET,LONG,NEUTRAL,2025-06-05T11:17:00-04:00,2025-06-05T11:38:00-04:00,181.04,179.63434285714288,1366,STOP_LOSS,-1920.13,-1.0,21
RBLX,LONG,NEUTRAL,2025-06-05T10:43:00-04:00,2025-06-05T12:26:00-04:00,93.32,93.43279232747535,2,TRAILING_STOP,0.23,0.15,103
TSLA,SHORT,NEUTRAL,2025-06-05T12:39:00-04:00,2025-06-05T12:49:00-04:00,310.3,304.65507142857143,609,SCALP_TP,3437.76,1.0,10
GOOGL,LONG,NEUTRAL,2025-06-06T09:54:00-04:00,2025-06-06T10:21:00-04:00,172.41,173.2273747,1501,TRAILING_STOP,1226.88,0.68,27
TSLA,LONG,NEUTRAL,2025-06-06T10:39:00-04:00,2025-06-06T11:04:00-04:00,299.48,303.5271382539259,872,TRAILING_STOP,3529.1,1.05,25
PLTR,LONG,NEUTRAL,2025-06-06T09:57:00-04:00,2025-06-06T13:58:00-04:00,124.68,126.32197192925891,2,TRAILING_STOP,3.28,0.8,241
NET,LONG,NEUTRAL,2025-06-06T09:45:00-04:00,2025-06-06T15:55:00-04:00,180.4359,179.26,1434,EOD_CLOSE,-1686.24,-0.41,370
UPST,LONG,NEUTRAL,2025-06-09T09:45:00-04:00,2025-06-09T10:03:00-04:00,55.4799,55.89604941609484,4777,TRAILING_STOP,1987.95,0.32,18
ARM,LONG,NEUTRAL,2025-06-09T10:37:00-04:00,2025-06-09T11:06:00-04:00,139.04,140.54109670084662,512,TRAILING_STOP,768.56,1.21,29
HOOD,SHORT,NEUTRAL,2025-06-09T10:03:00-04:00,2025-06-09T11:25:00-04:00,69.3776,71.52457142857145,2908,STOP_LOSS,-6243.39,-1.0,82
AFRM,LONG,NEUTRAL,2025-06-09T09:45:00-04:00,2025-06-09T15:35:00-04:00,60.635,60.83713181100025,4371,TRAILING_STOP,883.52,0.16,350
TSLA,LONG,NEUTRAL,2025-06-10T09:55:00-04:00,2025-06-10T11:28:00-04:00,315.03,318.78574842849434,824,TRAILING_STOP,3094.74,0.79,93
AFRM,LONG,NEUTRAL,2025-06-11T10:02:00-04:00,2025-06-11T11:06:00-04:00,63.86,64.89274913202988,4165,TRAILING_STOP,4301.4,0.89,64
UPST,LONG,NEUTRAL,2025-06-11T10:37:00-04:00,2025-06-11T11:06:00-04:00,60.5385,59.80275714285714,2,STOP_LOSS,-1.47,-1.0,29
SHOP,LONG,NEUTRAL,2025-06-11T09:56:00-04:00,2025-06-11T14:00:00-04:00,115.3201,116.21267467934904,2306,TRAILING_STOP,2058.28,0.4,244
UPST,SHORT,NEUTRAL,2025-06-12T10:00:00-04:00,2025-06-12T15:54:00-04:00,56.1902,54.88005714285714,3720,SCALP_TP,4873.73,1.0,354
UPST,SHORT,NEUTRAL,2025-06-13T10:02:00-04:00,2025-06-13T10:33:00-04:00,52.88,52.37280714069592,4091,TRAILING_STOP,2074.93,0.46,31
HOOD,SHORT,NEUTRAL,2025-06-13T10:05:00-04:00,2025-06-13T10:34:00-04:00,73.36,72.5478182742639,2949,TRAILING_STOP,2395.12,0.51,29
