symbol,side,regime,entry_time,exit_time,entry_price,exit_price,qty,exit_reason,pnl,r_multiple,hold_minutes
UNH,LONG,NEUTRAL,2025-05-19T09:50:00-04:00,2025-05-19T10:16:00-04:00,306.22,299.6467714285714,724,STOP_LOSS,-4759.02,-1.0,26
UNH,LONG,NEUTRAL,2025-05-19T11:51:00-04:00,2025-05-19T12:36:00-04:00,309.515,313.85066357912496,686,TRAILING_STOP,2974.27,1.47,45
UNH,LONG,NEUTRAL,2025-05-20T11:15:00-04:00,2025-05-20T11:22:00-04:00,319.28,320.34462591142574,684,TRAILING_STOP,728.2,0.37,7
SNOW,LONG,NEUTRAL,2025-05-22T10:00:00-04:00,2025-05-22T11:46:00-04:00,197.3999,198.93906940528916,1113,TRAILING_STOP,1713.1,0.35,106
UNH,SHORT,NEUTRAL,2025-05-22T10:23:00-04:00,2025-05-22T15:55:00-04:00,298.982,296.66,551,EOD_CLOSE,1279.42,0.41,332
NVDA,LONG,NEUTRAL,2025-05-27T10:00:00-04:00,2025-05-27T10:37:00-04:00,134.64,134.98579035,1677,TRAILING_STOP,579.89,0.37,37
TSLA,LONG,NEUTRAL,2025-05-27T09:58:00-04:00,2025-05-27T10:43:00-04:00,353.9,355.3847139248375,638,TRAILING_STOP,947.25,0.34,45
HOOD,LONG,NEUTRAL,2025-05-27T10:29:00-04:00,2025-05-27T10:43:00-04:00,66.853,66.05308571428571,2,STOP_LOSS,-1.6,-1.0,14
CRM,SHORT,NEUTRAL,2025-05-29T10:04:00-04:00,2025-05-29T14:41:00-04:00,257.77,263.86111428571434,666,STOP_LOSS,-4056.68,-1.0,277
PLTR,LONG,NEUTRAL,2025-05-30T10:08:00-04:00,2025-05-30T10:15:00-04:00,125.18,126.88442239746193,1763,TRAILING_STOP,3004.9,1.03,7
PLTR,LONG,NEUTRAL,2025-05-30T10:43:00-04:00,2025-05-30T11:11:00-04:00,129.14,130.6923943549636,1756,TRAILING_STOP,2726.0,0.94,28
AVGO,LONG,NEUTRAL,2025-06-02T10:16:00-04:00,2025-06-02T10:44:00-04:00,248.065,248.6627726701815,936,TRAILING_STOP,559.52,0.29,28
TSLA,LONG,NEUTRAL,2025-06-03T10:02:00-04:00,2025-06-03T10:08:00-04:00,349.9764,346.0222571428571,666,STOP_LOSS,-2633.46,-1.0,6
HOOD,LONG,NEUTRAL,2025-06-03T10:14:00-04:00,2025-06-03T11:07:00-04:00,70.26,70.50747991033305,3246,TRAILING_STOP,803.32,0.25,53
HOOD,LONG,NEUTRAL,2025-06-03T12:17:00-04:00,2025-06-03T12:29:00-04:00,71.925,72.1345153582601,3194,TRAILING_STOP,669.19,0.4,12
LLY,LONG,NEUTRAL,2025-06-04T09:53:00-04:00,2025-06-04T15:55:00-04:00,770.685,765.815,299,EOD_CLOSE,-1456.13,-0.68,362
NET,LONG,NEUTRAL,2025-06-05T10:42:00-04:00,2025-06-05T11:05:00-04:00,178.93,179.23361234561003,1275,TRAILING_STOP,387.11,0.16,23
HOOD,LONG,NEUTRAL,2025-06-05T10:41:00-04:00,2025-06-05T11:32:00-04:00,74.87,76.15880430842032,3047,TRAILING_STOP,3926.99,1.12,51
NET,LONG,NEUTRAL,2025-06-05T11:17:00-04:00,2025-06-05T11:38:00-04:00,181.04,179.63434285714288,1264,STOP_LOSS,-1776.75,-1.0,21
TSLA,SHORT,NEUTRAL,2025-06-05T12:32:00-04:00,2025-06-05T12:44:00-04:00,312.87,307.6262571428571,559,SCALP_TP,2931.25,1.0,12
GOOGL,LONG,NEUTRAL,2025-06-06T09:54:00-04:00,2025-06-06T10:21:00-04:00,172.41,173.2273747,1386,TRAILING_STOP,1132.88,0.68,27
TSLA,LONG,NEUTRAL,2025-06-06T10:39:00-04:00,2025-06-06T11:04:00-04:00,299.48,303.5271382539259,805,TRAILING_STOP,3257.95,1.05,25
PLTR,LONG,NEUTRAL,2025-06-06T09:57:00-04:00,2025-06-06T13:58:00-04:00,124.68,126.32197192925891,1,TRAILING_STOP,1.64,0.8,241
NET,LONG,NEUTRAL,2025-06-06T09:45:00-04:00,2025-06-06T15:55:00-04:00,180.4359,179.26,1325,EOD_CLOSE,-1558.07,-0.41,370
AMD,LONG,NEUTRAL,2025-06-09T09:54:00-04:00,2025-06-09T10:44:00-04:00,120.5402,121.62432341357608,2030,TRAILING_STOP,2200.77,0.74,50
HOOD,SHORT,NEUTRAL,2025-06-09T10:02:00-04:00,2025-06-09T11:41:00-04:00,69.5399,71.66544285714286,2639,STOP_LOSS,-5609.31,-1.0,99
TSLA,LONG,NEUTRAL,2025-06-10T09:55:00-04:00,2025-06-10T11:28:00-04:00,315.03,318.78574842849434,755,TRAILING_STOP,2835.59,0.79,93
BA,SHORT,NEUTRAL,2025-06-12T10:30:00-04:00,2025-06-12T15:55:00-04:00,202.6504,203.71,901,EOD_CLOSE,-954.7,-0.27,325
HOOD,SHORT,NEUTRAL,2025-06-13T10:05:00-04:00,2025-06-13T10:34:00-04:00,73.36,72.5478182742639,2471,TRAILING_STOP,2006.9,0.51,29
PLTR,SHORT,NEUTRAL,2025-06-13T10:25:00-04:00,2025-06-13T10:39:00-04:00,135.295,137.4718,1339,STOP_LOSS,-2914.74,-1.0,14
PLTR,LONG,NEUTRAL,2025-06-16T09:57:00-04:00,2025-06-16T10:43:00-04:00,144.08,141.97151428571428,1,STOP_LOSS,-2.11,-1.0,46
HOOD,LONG,NEUTRAL,2025-06-16T09:56:00-04:00,2025-06-16T11:06:00-04:00,75.43,75.92263926819568,3180,TRAILING_STOP,1566.59,0.52,70
COIN,LONG,NEUTRAL,2025-06-16T09:56:00-04:00,2025-06-16T11:15:00-04:00,250.725,253.72317569026964,956,TRAILING_STOP,2866.26,0.88,79
AMD,LONG,NEUTRAL,2025-06-16T11:06:00-04:00,2025-06-16T11:28:00-04:00,127.61,126.2338,1904,STOP_LOSS,-2620.28,-1.0,22
AMD,LONG,NEUTRAL,2025-06-17T09:48:00-04:00,2025-06-17T15:55:00-04:00,128.8972,127.335,1889,EOD_CLOSE,-2951.0,-0.59,367
AMD,LONG,NEUTRAL,2025-06-18T09:59:00-04:00,2025-06-18T11:14:00-04:00,128.385,127.1758,1850,STOP_LOSS,-2237.02,-1.0,75
AMD,LONG,NEUTRAL,2025-06-20T10:04:00-04:00,2025-06-20T10:17:00-04:00,132.675,130.91788571428575,1,STOP_LOSS,-1.76,-1.0,13
CAT,LONG,NEUTRAL,2025-06-20T09:45:00-04:00,2025-06-20T10:46:00-04:00,364.13,361.3716857142857,640,STOP_LOSS,-1765.32,-1.0,61
COIN,LONG,NEUTRAL,2025-06-20T10:02:00-04:00,2025-06-20T11:00:00-04:00,306.558,300.00654285714285,760,STOP_LOSS,-4979.11,-1.0,58
NFLX,LONG,NEUTRAL,2025-06-23T09:50:00-04:00,2025-06-23T10:30:00-04:00,123.921,124.38313,1772,TRAILING_STOP,818.89,0.53,40
PLTR,LONG,NEUTRAL,2025-06-23T09:46:00-04:00,2025-06-23T10:53:00-04:00,139.35,141.0559353734174,1576,TRAILING_STOP,2688.55,0.8,67
TSLA,LONG,NEUTRAL,2025-06-23T10:42:00-04:00,2025-06-23T11:24:00-04:00,353.922,354.85130700469114,625,TRAILING_STOP,580.82,0.17,42
COIN,SHORT,NEUTRAL,2025-06-23T10:58:00-04:00,2025-06-23T12:21:00-04:00,306.1375,300.7675,555,SCALP_TP,2980.35,1.0,83
TSLA,LONG,NEUTRAL,2025-06-23T13:34:00-04:00,2025-06-23T13:40:00-04:00,352.53,353.40022959586014,663,TRAILING_STOP,576.96,0.3,6
AMD,LONG,NEUTRAL,2025-06-24T09:55:00-04:00,2025-06-24T10:09:00-04:00,135.92,136.5918208538741,1728,TRAILING_STOP,1160.91,0.41,14
