ticker,shares,current_price,sma55,pct_to_sma55_signed,pct_drop_to_sma55,stop_loss_usd,stop_loss_pct_equity,avg_cost,cost_basis,market_value,total_return_usd,unrealized_return_pct,vol_20d,beta_20d,risk_score,bars_available,weight_pct
VRT,92.34,257.15,218.29,15.11,15.11,3588.72,0.43,133.45,12322.89,23745.23,11422.34,92.69,51.1,2.485,12508.36,207,1.87
AEHR,500.0,37.0,31.61,14.56,14.56,2693.27,0.323,9.4,4700.0,18500.0,13800.0,293.62,130.81,6.106,19137.39,207,1.46
PLTR,330.0,160.64,153.5,4.44,4.44,2355.66,0.283,67.9,22408.6,53011.2,30602.6,136.57,42.11,0.927,4538.69,207,4.17
NBIS,110.0,113.91,99.2,12.92,12.92,1618.38,0.194,85.91,9450.05,12530.1,3080.05,32.59,117.61,3.231,6846.67,207,0.99
CRCL,25.0,125.97,83.43,33.77,33.77,1063.48,0.128,128.86,3221.5,3149.25,-72.25,-2.24,139.2,4.268,5602.43,200,0.25
MU,80.24,403.98,395.36,2.13,2.13,691.49,0.083,175.45,14078.39,32415.35,18336.96,130.25,65.39,2.483,2408.68,207,2.55
VLO,20.11,236.0,201.81,14.49,14.49,687.63,0.082,181.34,3646.74,4745.96,1099.22,30.14,36.38,0.012,695.97,207,0.37
CVX,25.24,204.82,179.54,12.34,12.34,638.03,0.077,170.89,4313.23,5169.66,856.43,19.86,19.46,-0.278,638.03,207,0.41
VIST,50.0,67.62,56.66,16.21,16.21,547.9,0.066,33.23,1661.35,3380.85,1719.5,103.5,44.36,-0.905,547.9,207,0.27
ANET,325.0,136.42,134.77,1.21,1.21,536.59,0.064,147.14,47819.22,44335.72,-3483.5,-7.28,50.51,2.143,1686.25,207,3.49
ET,622.31,19.03,18.19,4.4,4.4,520.7,0.062,6.88,4282.46,11842.56,7560.1,176.54,16.15,-0.083,520.7,207,0.93
NOK,501.45,8.04,7.25,9.78,9.78,394.41,0.047,7.75,3884.28,4031.66,147.38,3.79,42.72,1.011,793.05,207,0.32
NVT,25.05,121.49,112.85,7.11,7.11,216.42,0.026,100.92,2528.07,3043.32,515.25,20.38,51.69,1.983,645.59,207,0.24
