symbol,entry_time,exit_time,entry_price,exit_price,qty,side,exit_reason,pnl,r_multiple,hold_minutes
UNH,2025-05-19T09:50:00-04:00,2025-05-19T10:16:00-04:00,306.22,299.6467714285714,724,LONG,STOP_LOSS,-4759.02,-1.0,26
UNH,2025-05-19T11:51:00-04:00,2025-05-19T12:36:00-04:00,309.515,313.85066357912496,686,LONG,TRAILING_STOP,2974.27,1.47,45
UNH,2025-05-20T11:15:00-04:00,2025-05-20T11:22:00-04:00,319.28,320.34462591142574,684,LONG,TRAILING_STOP,728.2,0.37,7
PLTR,2025-05-20T10:22:00-04:00,2025-05-20T11:37:00-04:00,126.71,125.59617142857141,1723,LONG,STOP_LOSS,-1919.13,-1.0,75
COIN,2025-05-22T10:33:00-04:00,2025-05-22T10:38:00-04:00,268.72,265.3444857142857,803,LONG,STOP_LOSS,-2710.54,-1.0,5
PLTR,2025-05-22T11:13:00-04:00,2025-05-22T11:30:00-04:00,125.435,125.7986210968686,1636,LONG,TRAILING_STOP,594.88,0.34,17
SNOW,2025-05-22T10:00:00-04:00,2025-05-22T11:46:00-04:00,197.3999,198.93906940528916,1094,LONG,TRAILING_STOP,1683.85,0.35,106
NVDA,2025-05-27T10:00:00-04:00,2025-05-27T10:37:00-04:00,134.64,134.98579035,1598,LONG,TRAILING_STOP,552.57,0.37,37
TSLA,2025-05-27T09:58:00-04:00,2025-05-27T10:43:00-04:00,353.9,355.3847139248375,608,LONG,TRAILING_STOP,902.71,0.34,45
PLTR,2025-05-30T10:08:00-04:00,2025-05-30T10:15:00-04:00,125.18,126.88442239746193,1742,LONG,TRAILING_STOP,2969.1,1.03,7
PLTR,2025-05-30T10:43:00-04:00,2025-05-30T11:11:00-04:00,129.14,130.6923943549636,1734,LONG,TRAILING_STOP,2691.85,0.94,28
AVGO,2025-06-02T10:16:00-04:00,2025-06-02T10:44:00-04:00,248.065,248.6627726701815,924,LONG,TRAILING_STOP,552.34,0.29,28
TSLA,2025-06-03T10:02:00-04:00,2025-06-03T10:08:00-04:00,349.9764,346.0222571428571,658,LONG,STOP_LOSS,-2601.83,-1.0,6
HOOD,2025-06-03T10:14:00-04:00,2025-06-03T11:07:00-04:00,70.26,70.50747991033305,3206,LONG,TRAILING_STOP,793.42,0.25,53
HOOD,2025-06-03T12:17:00-04:00,2025-06-03T12:29:00-04:00,71.925,72.1345153582601,3154,LONG,TRAILING_STOP,660.81,0.4,12
LLY,2025-06-04T09:53:00-04:00,2025-06-04T15:55:00-04:00,770.685,765.815,296,LONG,EOD_CLOSE,-1441.52,-0.68,362
NET,2025-06-05T10:42:00-04:00,2025-06-05T11:05:00-04:00,178.93,179.23361234561003,1259,LONG,TRAILING_STOP,382.25,0.16,23
HOOD,2025-06-05T10:41:00-04:00,2025-06-05T11:32:00-04:00,74.87,76.15880430842032,3009,LONG,TRAILING_STOP,3878.01,1.12,51
NET,2025-06-05T11:17:00-04:00,2025-06-05T11:38:00-04:00,181.04,179.63434285714288,1248,LONG,STOP_LOSS,-1754.26,-1.0,21
GOOGL,2025-06-06T09:54:00-04:00,2025-06-06T10:21:00-04:00,172.41,173.2273747,1336,LONG,TRAILING_STOP,1092.01,0.68,27
TSLA,2025-06-06T10:39:00-04:00,2025-06-06T11:04:00-04:00,299.48,303.5271382539259,776,LONG,TRAILING_STOP,3140.58,1.05,25
PLTR,2025-06-06T09:57:00-04:00,2025-06-06T13:58:00-04:00,124.68,126.32197192925891,1,LONG,TRAILING_STOP,1.64,0.8,241
NET,2025-06-06T09:45:00-04:00,2025-06-06T15:55:00-04:00,180.4359,179.26,1276,LONG,EOD_CLOSE,-1500.45,-0.41,370
AMD,2025-06-09T09:54:00-04:00,2025-06-09T10:44:00-04:00,120.5402,121.62432341357608,1956,LONG,TRAILING_STOP,2120.55,0.74,50
